chain_id,transaction_id,transaction_date,credit_amount,currency,narration,reference
HCHAIN000039,HBTX0039,2026-08-23,6629.83,INR,Settlement for HPAY0039,HSETTXN0039
HCHAIN000040,HBTX0040,2026-08-28,8337.44,INR,Settlement for HPAY0040,HSETTXN0040
HCHAIN000041,HBTX0041,2026-08-17,4098.07,INR,Settlement for HPAY0041,HSETTXN0041
HCHAIN000042,HBTX0042,2026-08-06,5296.75,INR,Settlement for HPAY0042,HSETTXN0042
HCHAIN000044,HBTX0044,2026-08-03,892.34,INR,Settlement for HPAY0044,HSETTXN0044
HCHAIN000045,HBTX0045,2026-08-19,1295.53,INR,Settlement for HPAY0045,HSETTXN0045
HCHAIN000046,HBTX0046,2026-08-12,2581.18,INR,Settlement for HPAY0046,HSETTXN0046
HCHAIN000047,HBTX0047,2026-08-14,5716.74,INR,Settlement for HPAY0047,HSETTXN0047
HCHAIN000048,HBTX0048,2026-08-06,5586.29,INR,Settlement for HPAY0048,HSETTXN0048
HCHAIN000049,HBTX0049,2026-08-17,7946.12,INR,Settlement for HPAY0049,HSETTXN0049
HCHAIN000050,HBTX0050,2026-08-31,752.02,INR,Settlement for HPAY0050,HSETTXN0050
HCHAIN000051,HBTX0051,2026-08-10,4909.38,INR,Settlement for HPAY0051,HSETTXN0051
HCHAIN000052,HBTX0052,2026-08-29,2043.60,INR,Settlement for HPAY0052,HSETTXN0052
HCHAIN000053,HBTX0053,2026-08-07,9857.29,INR,Settlement for HPAY0053,HSETTXN0053
HCHAIN000054,HBTX0054,2026-08-07,1657.21,INR,Settlement for HPAY0054,HSETTXN0054
HCHAIN000055,HBTX0055,2026-08-14,9782.19,INR,Settlement for HPAY0055,HSETTXN0055
HCHAIN000056,HBTX0056,2026-08-26,913.10,INR,Settlement for HPAY0056,HSETTXN0056
HCHAIN000057,HBTX0057,2026-08-11,3452.18,INR,Settlement for HPAY0057,HSETTXN0057
HCHAIN000058,HBTX0058,2026-08-25,3731.44,INR,Settlement for HPAY0058,HSETTXN0058
HCHAIN000059,HBTX0059,2026-08-09,3256.12,INR,Settlement for HPAY0059,HSETTXN0059
HCHAIN000060,HBTX0060,2026-08-17,9701.16,INR,Settlement for HPAY0060,HSETTXN0060
HCHAIN000061,HBTX0061,2026-08-30,2676.05,INR,Settlement for HPAY0061,HSETTXN0061
HCHAIN000062,HBTX0062,2026-08-30,2074.63,INR,Settlement for HPAY0062,HSETTXN0062
HCHAIN000063,HBTX0063,2026-08-31,4388.60,INR,Settlement for HPAY0063,HSETTXN0063
HCHAIN000064,HBTX0064,2026-08-15,8591.41,INR,Settlement for HPAY0064,HSETTXN0064
HCHAIN000065,HBTX0065,2026-08-31,5463.76,INR,Settlement for HPAY0065,HSETTXN0065
HCHAIN000066,HBTX0066,2026-08-08,7385.81,INR,Settlement for HPAY0066,HSETTXN0066
HCHAIN000067,HBTX0067,2026-08-03,2595.01,INR,Settlement for HPAY0067,HSETTXN0067
HCHAIN000068,HBTX0068,2026-08-13,1163.11,INR,Settlement for HPAY0068,HSETTXN0068
HCHAIN000069,HBTX0069,2026-08-15,9531.19,INR,Settlement for HPAY0069,HSETTXN0069
HCHAIN000070,HBTX0070,2026-08-07,2626.64,INR,Settlement for HPAY0070,HSETTXN0070
HCHAIN000071,HBTX0071,2026-08-24,7453.00,INR,Settlement for HPAY0071,HSETTXN0071
HCHAIN000072,HBTX0072,2026-08-14,4070.40,INR,Settlement for HPAY0072,HSETTXN0072
HCHAIN000073,HBTX0073,2026-08-12,2177.99,INR,Settlement for HPAY0073,HSETTXN0073
HCHAIN000074,HBTX0074,2026-08-30,4352.03,INR,Settlement for HPAY0074,HSETTXN0074
HCHAIN000075,HBTX0075,2026-08-24,4964.72,INR,Settlement for HPAY0075,HSETTXN0075
HCHAIN000076,HBTX0076,2026-08-26,1406.21,INR,Settlement for HPAY0076,HSETTXN0076
HCHAIN000077,HBTX0077,2026-08-29,7705.00,INR,Settlement for HPAY0077,HSETTXN0077
HCHAIN000078,HBTX0078,2026-08-16,7927.34,INR,Settlement for HPAY0078,HSETTXN0078
HCHAIN000079,HBTX0079,2026-08-05,5658.43,INR,Settlement for HPAY0079,HSETTXN0079
HCHAIN000081,HBTX0081,2026-08-10,4460.73,INR,Settlement for HPAY0081,HSETTXN0081
HCHAIN000083,HBTX0083,2026-08-18,9860.26,INR,Settlement for HPAY0083,HSETTXN0083
HCHAIN000084,HBTX0084,2026-08-15,7103.18,INR,Settlement for HPAY0084,HSETTXN0084
HCHAIN000085,HBTX0085,2026-09-03,9129.98,INR,Settlement for HPAY0085,HSETTXN0085
HCHAIN000086,HBTX0086,2026-08-04,9058.83,INR,Settlement for HPAY0086,HSETTXN0086
HCHAIN000087,HBTX0087,2026-08-24,7687.21,INR,Settlement for HPAY0087,HSETTXN0087
HCHAIN000088,HBTX0088,2026-08-31,7993.55,INR,Settlement for HPAY0088,HSETTXN0088
HCHAIN000089,HBTX0089,2026-08-30,1152.24,INR,Settlement for HPAY0089,HSETTXN0089
HCHAIN000090,HBTX0090,2026-08-09,7934.26,INR,Settlement for HPAY0090,HSETTXN0090
HCHAIN000091,HBTX0091,2026-08-11,4700.87,INR,Settlement for HPAY0091,HSETTXN0091
HCHAIN000092,HBTX0092,2026-08-16,7565.66,INR,Settlement for HPAY0092,HSETTXN0092
HCHAIN000093,HBTX0093,2026-08-03,8628.96,INR,Settlement for HPAY0093,HSETTXN0093
HCHAIN000094,HBTX0094,2026-08-16,4918.27,INR,Settlement for HPAY0094,HSETTXN0094
HCHAIN000095,HBTX0095,2026-08-21,9869.15,INR,Settlement for HPAY0095,HSETTXN0095
HCHAIN000096,HBTX0096,2026-08-16,861.71,INR,Settlement for HPAY0096,HSETTXN0096
HCHAIN000097,HBTX0097,2026-08-11,4550.66,INR,Settlement for HPAY0097,HSETTXN0097
HCHAIN000098,HBTX0098,2026-08-17,6467.77,INR,Settlement for HPAY0098,HSETTXN0098
HCHAIN000099,HBTX0099,2026-08-13,1349.88,INR,Settlement for HPAY0099,HSETTXN0099
HCHAIN000100,HBTX0100,2026-08-18,6532.00,INR,Settlement for HPAY0100,HSETTXN0100
HCHAIN000101,HBTX0101,2026-08-11,2733.36,INR,Settlement for HPAY0101,HSETTXN0101
HCHAIN000103,HBTX0103,2026-08-06,7769.23,INR,Settlement for HPAY0103,HSETTXN0103
HCHAIN000104,HBTX0104,2026-08-21,5008.20,INR,Settlement for HPAY0104,HSETTXN0104
HCHAIN000106,HBTX0106,2026-09-01,4888.63,INR,Settlement for HPAY0106,HSETTXN0106
HCHAIN000107,HBTX0107,2026-08-21,2562.40,INR,Settlement for HPAY0107,HSETTXN0107
HCHAIN000108,HBTX0108,2026-08-30,1965.53,INR,Settlement for HPAY0108,HSETTXN0108
HCHAIN000109,HBTX0109,2026-08-11,3331.22,INR,Settlement for HPAY0109,HSETTXN0109
HCHAIN000110,HBTX0110,2026-08-23,5161.37,INR,Settlement for HPAY0110,HSETTXN0110
HCHAIN000111,HBTX0111,2026-08-19,1830.15,INR,Settlement for HPAY0111,HSETTXN0111
HCHAIN000112,HBTX0112,2026-08-06,8216.29,INR,Settlement for HPAY0112,HSETTXN0112
HCHAIN000113,HBTX0113,2026-08-10,1097.89,INR,Settlement for HPAY0113,HSETTXN0113
HCHAIN000115,HBTX0115,2026-09-01,7880.89,INR,Settlement for HPAY0115,HSETTXN0115
HCHAIN000116,HBTX0116,2026-08-15,6893.68,INR,Settlement for HPAY0116,HSETTXN0116
HCHAIN000117,HBTX0117,2026-08-09,8998.55,INR,Settlement for HPAY0117,HSETTXN0117
HCHAIN000118,HBTX0118,2026-09-01,2178.98,INR,Settlement for HPAY0118,HSETTXN0118
HCHAIN000119,HBTX0119,2026-09-01,7917.46,INR,Settlement for HPAY0119,HSETTXN0119
HCHAIN000120,HBTX0120,2026-08-25,2966.58,INR,Settlement for HPAY0120,HSETTXN0120
HCHAIN000121,HBTX0121,2026-08-14,3974.54,INR,Settlement for HPAY0121,HSETTXN0121
HCHAIN000122,HBTX0122,2026-08-21,570.19,INR,Settlement for HPAY0122,HSETTXN0122
HCHAIN000123,HBTX0123,2026-08-08,3534.79,INR,Settlement for HPAY0123,HSETTXN0123
HCHAIN000124,HBTX0124,2026-08-26,8288.03,INR,Settlement for HPAY0124,HSETTXN0124
HCHAIN000125,HBTX0125,2026-08-31,5811.60,INR,Settlement for HPAY0125,HSETTXN0125
HCHAIN000126,HBTX0126,2026-08-06,5579.38,INR,Settlement for HPAY0126,HSETTXN0126
HCHAIN000127,HBTX0127,2026-08-03,9289.08,INR,Settlement for HPAY0127,HSETTXN0127
HCHAIN000128,HBTX0128,2026-08-17,1882.52,INR,Settlement for HPAY0128,HSETTXN0128
HCHAIN000130,HBTX0130,2026-08-14,7348.26,INR,Settlement for HPAY0130,HSETTXN0130
HCHAIN000131,HBTX0131,2026-08-17,960.53,INR,Settlement for HPAY0131,HSETTXN0131
HCHAIN000132,HBTX0132,2026-08-29,6055.69,INR,Settlement for HPAY0132,HSETTXN0132
HCHAIN000133,HBTX0133,2026-08-23,4692.96,INR,Settlement for HPAY0133,HSETTXN0133
HCHAIN000134,HBTX0134,2026-08-17,4284.84,INR,Settlement for HPAY0134,HSETTXN0134
HCHAIN000135,HBTX0135,2026-08-15,2578.21,INR,Settlement for HPAY0135,HSETTXN0135
HCHAIN000136,HBTX0136_COMBINED,2026-08-18,13147.01,INR,Combined settlement for HPAY0136 and HPAY0102,COMBINED-HSETTXN0136-HSETTXN0102
HCHAIN000137,HBTX0137,2026-08-17,7537.00,INR,Settlement for HPAY0137,HSETTXN0137
HCHAIN000138,HBTX0138,2026-08-25,5073.82,INR,Settlement for HPAY0138,HSETTXN0138
HCHAIN000139,HBTX0139,2026-09-01,3198.80,INR,Settlement for HPAY0139,HSETTXN0139
HCHAIN000140,HBTX0140,2026-08-23,7112.08,INR,Settlement for HPAY0140,HSETTXN0140
HCHAIN000141,HBTX0141,2026-08-21,4610.94,INR,Settlement for HPAY0141,HSETTXN0141
HCHAIN000142,HBTX0142,2026-08-22,6264.20,INR,Settlement for HPAY0142,HSETTXN0142
HCHAIN000143,HBTX0143,2026-08-14,2699.76,INR,Settlement for HPAY0143,HSETTXN0143
HCHAIN000144,HBTX0144,2026-08-30,4272.98,INR,Settlement for HPAY0144,HSETTXN0144
HCHAIN000145,HBTX0145,2026-08-11,7622.97,INR,Settlement for HPAY0145,HSETTXN0145
HCHAIN000146,HBTX0146,2026-08-06,8497.53,INR,Settlement for HPAY0146,HSETTXN0146
HCHAIN000147,HBTX0147,2026-08-24,2090.04,INR,Settlement for HPAY0147,HSETTXN0147
HCHAIN000148,HBTX0148,2026-08-12,982.27,INR,Settlement for HPAY0148,HSETTXN0148
HCHAIN000149,HBTX0149,2026-08-16,6915.82,INR,Settlement for HPAY0149,HSETTXN0149
HCHAIN000150,HBTX0150,2026-08-14,5551.71,INR,Settlement for HPAY0150,HSETTXN0150
HCHAIN000004,HBTX0004_DUP,2026-08-03,8485.67,INR,Settlement for HPAY0004,HSETTXN0004
HCHAIN000110,HBTX0110_DUP,2026-08-23,5161.37,INR,Settlement for HPAY0110,HSETTXN0110
HCHAIN000055,HBTX0055_DUP,2026-08-14,9782.19,INR,Settlement for HPAY0055,HSETTXN0055
HCHAIN000072,HBTX0072_DUP,2026-08-14,4070.40,INR,Settlement for HPAY0072,HSETTXN0072
