chain_id,payment_id,order_id,payment_method,upi_ref,amount,currency,payment_date,status
HCHAIN000024,HPAY0024,HORD0024,UPI,UPI/RZP/557423721883,8233,INR,2026-08-08,SUCCESS
HCHAIN000025,HPAY0025,HORD0025,UPI,UPI/RZP/873050497190,4171,INR,2026-08-04,SUCCESS
HCHAIN000026,HPAY0026,HORD0026,UPI,UPI/RZP/770652282252,7821,INR,2026-08-14,SUCCESS
HCHAIN000027,HPAY0027,HORD0027,CARD,,7400,INR,2026-08-08,SUCCESS
HCHAIN000028,HPAY0028,HORD0028,CARD,,6479,INR,2026-08-23,SUCCESS
HCHAIN000029,HPAY0029,HORD0029,CARD,,9162,INR,2026-08-13,SUCCESS
HCHAIN000030,HPAY0030,HORD0030,CARD,,5571,INR,2026-08-29,SUCCESS
HCHAIN000031,HPAY0031,HORD0031,NETBANKING,,9256,INR,2026-08-07,SUCCESS
HCHAIN000032,HPAY0032,HORD0032,UPI,UPI/RZP/495294917474,7438,INR,2026-08-01,SUCCESS
HCHAIN000033,HPAY0033,HORD0033,UPI,UPI/RZP/488785363567,9594,INR,2026-08-14,SUCCESS
HCHAIN000034,HPAY0034,HORD0034,CARD,,9959,INR,2026-08-07,SUCCESS
HCHAIN000035,HPAY0035,HORD0035,UPI,UPI/RZP/934668329760,7512,INR,2026-08-16,SUCCESS
HCHAIN000036,HPAY0036,HORD0036,UPI,UPI/RZP/554255383541,7425,INR,2026-08-12,SUCCESS
HCHAIN000037,HPAY0037,HORD0037,UPI,UPI/RZP/983638624927,3160,INR,2026-08-26,SUCCESS
HCHAIN000038,HPAY0038,HORD0038,UPI,UPI/RZP/381138355303,8702,INR,2026-08-01,SUCCESS
HCHAIN000039,HPAY0039,HORD0039,UPI,UPI/RZP/875112916962,6709,INR,2026-08-21,SUCCESS
HCHAIN000040,HPAY0040,HORD0040,NETBANKING,,8437,INR,2026-08-26,SUCCESS
HCHAIN000041,HPAY0041,HORD0041,UPI,UPI/RZP/271385609613,4147,INR,2026-08-15,SUCCESS
HCHAIN000042,HPAY0042,HORD0042,NETBANKING,,5360,INR,2026-08-04,SUCCESS
HCHAIN000043,HPAY0043,HORD0043,UPI,UPI/RZP/811953203422,9451,INR,2026-08-23,SUCCESS
HCHAIN000044,HPAY0044,HORD0044,CARD,,903,INR,2026-08-01,SUCCESS
HCHAIN000045,HPAY0045,HORD0045,UPI,UPI/RZP/953331774196,1311,INR,2026-08-17,SUCCESS
HCHAIN000046,HPAY0046,HORD0046,UPI,UPI/RZP/734904979531,2612,INR,2026-08-07,SUCCESS
HCHAIN000047,HPAY0047,HORD0047,CARD,,5785,INR,2026-08-12,SUCCESS
HCHAIN000048,HPAY0048,HORD0048,UPI,UPI/RZP/546331842867,5653,INR,2026-08-04,SUCCESS
HCHAIN000049,HPAY0049,HORD0049,UPI,UPI/RZP/812405462186,8041,INR,2026-08-15,SUCCESS
HCHAIN000050,HPAY0050,HORD0050,UPI,UPI/RZP/593778481680,761,INR,2026-08-29,SUCCESS
HCHAIN000051,HPAY0051,HORD0051,NETBANKING,,4968,INR,2026-08-08,SUCCESS
HCHAIN000052,HPAY0052,HORD0052,NETBANKING,,2068,INR,2026-08-27,SUCCESS
HCHAIN000053,HPAY0053,HORD0053,CARD,,9975,INR,2026-08-05,SUCCESS
HCHAIN000054,HPAY0054,HORD0054,CARD,,1677,INR,2026-08-05,SUCCESS
HCHAIN000055,HPAY0055,HORD0055,UPI,UPI/RZP/745322394423,9899,INR,2026-08-12,SUCCESS
HCHAIN000056,HPAY0056,HORD0056,UPI,UPI/RZP/552181183242,924,INR,2026-08-24,SUCCESS
HCHAIN000057,HPAY0057,HORD0057,CARD,,3544,INR,2026-08-09,SUCCESS
HCHAIN000058,HPAY0058,HORD0058,CARD,,3776,INR,2026-08-23,SUCCESS
HCHAIN000059,HPAY0059,HORD0059,NETBANKING,,3295,INR,2026-08-07,SUCCESS
HCHAIN000060,HPAY0060,HORD0060,CARD,,9817,INR,2026-08-15,SUCCESS
HCHAIN000061,HPAY0061,HORD0061,UPI,UPI/RZP/601003416751,2708,INR,2026-08-28,SUCCESS
HCHAIN000062,HPAY0062,HORD0062,CARD,,2150,INR,2026-08-28,SUCCESS
HCHAIN000063,HPAY0063,HORD0063,NETBANKING,,4441,INR,2026-08-29,SUCCESS
HCHAIN000064,HPAY0064,HORD0064,NETBANKING,,8694,INR,2026-08-13,SUCCESS
HCHAIN000065,HPAY0065,HORD0065,NETBANKING,,5529,INR,2026-08-29,SUCCESS
HCHAIN000066,HPAY0066,HORD0066,UPI,UPI/RZP/209883814087,7474,INR,2026-08-06,SUCCESS
HCHAIN000067,HPAY0067,HORD0067,UPI,UPI/RZP/108591782012,2626,INR,2026-08-01,SUCCESS
HCHAIN000068,HPAY0068,HORD0068,UPI,UPI/RZP/221422672439,1177,INR,2026-08-11,SUCCESS
HCHAIN000069,HPAY0069,HORD0069,CARD,,9645,INR,2026-08-13,SUCCESS
HCHAIN000070,HPAY0070,HORD0070,UPI,UPI/RZP/555767957521,2658,INR,2026-08-05,SUCCESS
HCHAIN000071,HPAY0071,HORD0071,CARD,,7542,INR,2026-08-22,SUCCESS
HCHAIN000072,HPAY0072,HORD0072,UPI,UPI/RZP/889119397536,4119,INR,2026-08-12,SUCCESS
HCHAIN000073,HPAY0073,HORD0073,UPI,UPI/RZP/860184045089,2204,INR,2026-08-10,SUCCESS
HCHAIN000074,HPAY0074,HORD0074,CARD,,4404,INR,2026-08-25,SUCCESS
HCHAIN000075,HPAY0075,HORD0075,CARD,,5024,INR,2026-08-22,SUCCESS
HCHAIN000076,HPAY0076,HORD0076,CARD,,1423,INR,2026-08-24,SUCCESS
HCHAIN000077,HPAY0077,HORD0077,UPI,UPI/RZP/871145683255,7797,INR,2026-08-27,SUCCESS
HCHAIN000078,HPAY0078,HORD0078,UPI,UPI/RZP/118781112919,8022,INR,2026-08-14,SUCCESS
HCHAIN000079,HPAY0079,HORD0079,CARD,,5726,INR,2026-08-03,SUCCESS
HCHAIN000080,HPAY0080,HORD0080,UPI,UPI/RZP/783471211718,2578,INR,2026-08-21,SUCCESS
HCHAIN000081,HPAY0081,HORD0081,NETBANKING,,4514,INR,2026-08-08,SUCCESS
HCHAIN000082,HPAY0082,HORD0082,CARD,,588,INR,2026-08-11,SUCCESS
HCHAIN000083,HPAY0083,HORD0083,NETBANKING,,9978,INR,2026-08-16,SUCCESS
HCHAIN000084,HPAY0084,HORD0084,CARD,,7188,INR,2026-08-13,SUCCESS
HCHAIN000085,HPAY0085,HORD0085,NETBANKING,,9239,INR,2026-08-29,SUCCESS
HCHAIN000086,HPAY0086,HORD0086,CARD,,9167,INR,2026-08-02,SUCCESS
HCHAIN000087,HPAY0087,HORD0087,NETBANKING,,7779,INR,2026-08-22,SUCCESS
HCHAIN000088,HPAY0088,HORD0088,UPI,UPI/RZP/143526336735,8089,INR,2026-08-29,SUCCESS
HCHAIN000089,HPAY0089,HORD0089,CARD,,1166,INR,2026-08-28,SUCCESS
HCHAIN000090,HPAY0090,HORD0090,NETBANKING,,8029,INR,2026-08-07,SUCCESS
HCHAIN000091,HPAY0091,HORD0091,NETBANKING,,4757,INR,2026-08-09,SUCCESS
HCHAIN000092,HPAY0092,HORD0092,NETBANKING,,7656,INR,2026-08-14,SUCCESS
HCHAIN000093,HPAY0093,HORD0093,UPI,UPI/RZP/117626623002,8732,INR,2026-08-01,SUCCESS
HCHAIN000094,HPAY0094,HORD0094,UPI,UPI/RZP/380314722343,4977,INR,2026-08-14,SUCCESS
HCHAIN000095,HPAY0095,HORD0095,UPI,UPI/RZP/587214174173,9987,INR,2026-08-16,SUCCESS
HCHAIN000096,HPAY0096,HORD0096,NETBANKING,,872,INR,2026-08-11,SUCCESS
HCHAIN000097,HPAY0097,HORD0097,CARD,,4605,INR,2026-08-09,SUCCESS
HCHAIN000098,HPAY0098,HORD0098,NETBANKING,,6545,INR,2026-08-15,SUCCESS
HCHAIN000099,HPAY0099,HORD0099,UPI,UPI/RZP/967808195632,1366,INR,2026-08-11,SUCCESS
HCHAIN000100,HPAY0100,HORD0100,NETBANKING,,6610,INR,2026-08-16,SUCCESS
HCHAIN000101,HPAY0101,HORD0101,UPI,UPI/RZP/801392098860,2766,INR,2026-08-06,SUCCESS
HCHAIN000102,HPAY0102,HORD0102,CARD,,4889,INR,2026-08-19,SUCCESS
HCHAIN000103,HPAY0103,HORD0103,CARD,,7862,INR,2026-08-01,SUCCESS
HCHAIN000104,HPAY0104,HORD0104,NETBANKING,,5068,INR,2026-08-19,SUCCESS
HCHAIN000105,HPAY0105,HORD0105,UPI,UPI/RZP/947698387433,6687,INR,2026-08-04,SUCCESS
HCHAIN000106,HPAY0106,HORD0106,UPI,UPI/RZP/835912985045,4947,INR,2026-08-30,SUCCESS
HCHAIN000107,HPAY0107,HORD0107,NETBANKING,,2593,INR,2026-08-19,SUCCESS
HCHAIN000108,HPAY0108,HORD0108,CARD,,1989,INR,2026-08-28,SUCCESS
HCHAIN000109,HPAY0109,HORD0109,NETBANKING,,3371,INR,2026-08-09,SUCCESS
HCHAIN000110,HPAY0110,HORD0110,UPI,UPI/RZP/429808151042,5223,INR,2026-08-21,SUCCESS
HCHAIN000111,HPAY0111,HORD0111,NETBANKING,,1852,INR,2026-08-17,SUCCESS
HCHAIN000112,HPAY0112,HORD0112,NETBANKING,,8365,INR,2026-08-04,SUCCESS
HCHAIN000113,HPAY0113,HORD0113,CARD,,1111,INR,2026-08-08,SUCCESS
HCHAIN000114,HPAY0114,HORD0114,CARD,,8172,INR,2026-08-08,SUCCESS
HCHAIN000115,HPAY0115,HORD0115,UPI,UPI/RZP/213252693166,7975,INR,2026-08-30,SUCCESS
HCHAIN000116,HPAY0116,HORD0116,CARD,,6976,INR,2026-08-10,SUCCESS
HCHAIN000117,HPAY0117,HORD0117,NETBANKING,,9106,INR,2026-08-07,SUCCESS
HCHAIN000118,HPAY0118,HORD0118,UPI,UPI/RZP/121953246739,2205,INR,2026-08-30,SUCCESS
HCHAIN000119,HPAY0119,HORD0119,UPI,UPI/RZP/739156308592,8012,INR,2026-08-30,SUCCESS
HCHAIN000120,HPAY0120,HORD0120,NETBANKING,,3002,INR,2026-08-23,SUCCESS
HCHAIN000121,HPAY0121,HORD0121,UPI,UPI/RZP/724296169605,4022,INR,2026-08-12,SUCCESS
HCHAIN000122,HPAY0122,HORD0122,CARD,,577,INR,2026-08-19,SUCCESS
HCHAIN000123,HPAY0123,HORD0123,UPI,UPI/RZP/152008014408,3577,INR,2026-08-06,SUCCESS
HCHAIN000124,HPAY0124,HORD0124,UPI,UPI/RZP/297864502016,8387,INR,2026-08-24,SUCCESS
HCHAIN000125,HPAY0125,HORD0125,CARD,,5881,INR,2026-08-29,SUCCESS
HCHAIN000126,HPAY0126,HORD0126,CARD,,5646,INR,2026-08-04,SUCCESS
HCHAIN000127,HPAY0127,HORD0127,UPI,UPI/RZP/470308088887,9400,INR,2026-08-01,SUCCESS
HCHAIN000128,HPAY0128,HORD0128,NETBANKING,,1905,INR,2026-08-15,SUCCESS
HCHAIN000129,HPAY0129,HORD0129,UPI,UPI/RZP/487915806635,663,INR,2026-08-20,SUCCESS
HCHAIN000130,HPAY0130,HORD0130,CARD,,7436,INR,2026-08-12,SUCCESS
HCHAIN000131,HPAY0131,HORD0131,CARD,,972,INR,2026-08-15,SUCCESS
HCHAIN000132,HPAY0132,HORD0132,NETBANKING,,6128,INR,2026-08-27,SUCCESS
HCHAIN000133,HPAY0133,HORD0133,NETBANKING,,4749,INR,2026-08-21,SUCCESS
HCHAIN000134,HPAY0134,HORD0134,UPI,UPI/RZP/417480316138,4336,INR,2026-08-15,SUCCESS
HCHAIN000135,HPAY0135,HORD0135,UPI,UPI/RZP/423468229809,2609,INR,2026-08-10,SUCCESS
HCHAIN000136,HPAY0136,HORD0136,NETBANKING,,8415,INR,2026-08-16,SUCCESS
HCHAIN000137,HPAY0137,HORD0137,UPI,UPI/RZP/896858822652,7627,INR,2026-08-15,SUCCESS
HCHAIN000138,HPAY0138,HORD0138,NETBANKING,,5185,INR,2026-08-23,SUCCESS
HCHAIN000139,HPAY0139,HORD0139,NETBANKING,,3237,INR,2026-08-30,SUCCESS
HCHAIN000140,HPAY0140,HORD0140,CARD,,7197,INR,2026-08-21,SUCCESS
HCHAIN000141,HPAY0141,HORD0141,CARD,,4666,INR,2026-08-19,SUCCESS
HCHAIN000142,HPAY0142,HORD0142,NETBANKING,,6339,INR,2026-08-20,SUCCESS
HCHAIN000143,HPAY0143,HORD0143,UPI,UPI/RZP/540224950147,2732,INR,2026-08-12,SUCCESS
HCHAIN000144,HPAY0144,HORD0144,NETBANKING,,4324,INR,2026-08-25,SUCCESS
HCHAIN000145,HPAY0145,HORD0145,NETBANKING,,7714,INR,2026-08-09,SUCCESS
HCHAIN000146,HPAY0146,HORD0146,CARD,,8599,INR,2026-08-04,SUCCESS
HCHAIN000147,HPAY0147,HORD0147,NETBANKING,,2115,INR,2026-08-22,SUCCESS
HCHAIN000148,HPAY0148,HORD0148,UPI,UPI/RZP/339359808208,994,INR,2026-08-10,SUCCESS
HCHAIN000149,HPAY0149,HORD0149,CARD,,7049,INR,2026-08-14,SUCCESS
HCHAIN000150,HPAY0150,HORD0150,NETBANKING,,5618,INR,2026-08-12,SUCCESS
