chain_id,payment_id,order_id,payment_method,upi_ref,amount,currency,payment_date,status
CHAIN000023,PAY0023,ORD0023,NETBANKING,,7928,INR,2026-08-21,SUCCESS
CHAIN000024,PAY0024,ORD0024,NETBANKING,,3164,INR,2026-08-12,SUCCESS
CHAIN000025,PAY0025,ORD0025,CARD,,3932,INR,2026-08-22,SUCCESS
CHAIN000026,PAY0026,ORD0026,CARD,,1669,INR,2026-08-20,SUCCESS
CHAIN000027,PAY0027,ORD0027,UPI,UPI/RZP/888855466331,9251,INR,2026-08-24,SUCCESS
CHAIN000028,PAY0028,ORD0028,CARD,,3177,INR,2026-08-15,SUCCESS
CHAIN000029,PAY0029,ORD0029,UPI,UPI/RZP/534932502545,4922,INR,2026-08-30,SUCCESS
CHAIN000030,PAY0030,ORD0030,UPI,UPI/RZP/811554491388,4098,INR,2026-08-22,SUCCESS
CHAIN000031,PAY0031,ORD0031,CARD,,1416,INR,2026-08-08,SUCCESS
CHAIN000032,PAY0032,ORD0032,CARD,,5668,INR,2026-08-13,SUCCESS
CHAIN000033,PAY0033,ORD0033,CARD,,1584,INR,2026-08-07,SUCCESS
CHAIN000034,PAY0034,ORD0034,UPI,UPI/RZP/602551183219,5655,INR,2026-08-07,SUCCESS
CHAIN000035,PAY0035,ORD0035,NETBANKING,,6982,INR,2026-08-29,SUCCESS
CHAIN000036,PAY0036,ORD0036,NETBANKING,,2840,INR,2026-08-09,SUCCESS
CHAIN000037,PAY0037,ORD0037,UPI,UPI/RZP/688725171936,4540,INR,2026-08-24,SUCCESS
CHAIN000038,PAY0038,ORD0038,UPI,UPI/RZP/389935567052,9330,INR,2026-08-09,SUCCESS
CHAIN000039,PAY0039,ORD0039,UPI,UPI/RZP/486260407870,7519,INR,2026-08-29,SUCCESS
CHAIN000040,PAY0040,ORD0040,UPI,UPI/RZP/370064409283,7043,INR,2026-08-12,SUCCESS
CHAIN000041,PAY0041,ORD0041,CARD,,2766,INR,2026-08-17,SUCCESS
CHAIN000042,PAY0042,ORD0042,CARD,,1989,INR,2026-08-25,SUCCESS
CHAIN000043,PAY0043,ORD0043,UPI,UPI/RZP/875427216652,2296,INR,2026-08-05,SUCCESS
CHAIN000044,PAY0044,ORD0044,CARD,,7416,INR,2026-08-20,SUCCESS
CHAIN000045,PAY0045,ORD0045,NETBANKING,,6804,INR,2026-08-13,SUCCESS
CHAIN000046,PAY0046,ORD0046,NETBANKING,,8168,INR,2026-08-17,SUCCESS
CHAIN000047,PAY0047,ORD0047,NETBANKING,,9564,INR,2026-08-28,SUCCESS
CHAIN000048,PAY0048,ORD0048,UPI,UPI/RZP/428799513174,2376,INR,2026-08-22,SUCCESS
CHAIN000049,PAY0049,ORD0049,NETBANKING,,4871,INR,2026-08-25,SUCCESS
CHAIN000050,PAY0050,ORD0050,UPI,UPI/RZP/388339584783,2327,INR,2026-08-10,SUCCESS
CHAIN000051,PAY0051,ORD0051,UPI,UPI/RZP/219785403991,3091,INR,2026-08-15,SUCCESS
CHAIN000052,PAY0052,ORD0052,NETBANKING,,4815,INR,2026-08-17,SUCCESS
CHAIN000053,PAY0053,ORD0053,NETBANKING,,8817,INR,2026-08-30,SUCCESS
CHAIN000054,PAY0054,ORD0054,UPI,UPI/RZP/410407371993,5389,INR,2026-08-27,SUCCESS
CHAIN000055,PAY0055,ORD0055,NETBANKING,,3758,INR,2026-08-05,SUCCESS
CHAIN000056,PAY0056,ORD0056,UPI,UPI/RZP/476744275623,3146,INR,2026-08-18,SUCCESS
CHAIN000057,PAY0057,ORD0057,UPI,UPI/RZP/798737479634,509,INR,2026-08-20,SUCCESS
CHAIN000058,PAY0058,ORD0058,CARD,,8505,INR,2026-08-01,SUCCESS
CHAIN000059,PAY0059,ORD0059,NETBANKING,,6447,INR,2026-08-29,SUCCESS
CHAIN000060,PAY0060,ORD0060,CARD,,4423,INR,2026-08-02,SUCCESS
CHAIN000061,PAY0061,ORD0061,CARD,,9795,INR,2026-08-03,SUCCESS
CHAIN000062,PAY0062,ORD0062,UPI,UPI/RZP/796181120841,8462,INR,2026-08-27,SUCCESS
CHAIN000063,PAY0063,ORD0063,CARD,,9227,INR,2026-08-25,SUCCESS
CHAIN000064,PAY0064,ORD0064,CARD,,2603,INR,2026-08-22,SUCCESS
CHAIN000065,PAY0065,ORD0065,UPI,UPI/RZP/465087448782,9507,INR,2026-08-06,SUCCESS
CHAIN000066,PAY0066,ORD0066,UPI,UPI/RZP/277218748445,9145,INR,2026-08-28,SUCCESS
CHAIN000067,PAY0067,ORD0067,NETBANKING,,7432,INR,2026-08-07,SUCCESS
CHAIN000068,PAY0068,ORD0068,CARD,,3795,INR,2026-08-23,SUCCESS
CHAIN000069,PAY0069,ORD0069,NETBANKING,,7037,INR,2026-08-22,SUCCESS
CHAIN000070,PAY0070,ORD0070,NETBANKING,,7677,INR,2026-08-29,SUCCESS
CHAIN000071,PAY0071,ORD0071,CARD,,7897,INR,2026-08-04,SUCCESS
CHAIN000072,PAY0072,ORD0072,NETBANKING,,4181,INR,2026-08-03,SUCCESS
CHAIN000073,PAY0073,ORD0073,UPI,UPI/RZP/182084873288,844,INR,2026-08-19,SUCCESS
CHAIN000074,PAY0074,ORD0074,NETBANKING,,4270,INR,2026-08-19,SUCCESS
CHAIN000075,PAY0075,ORD0075,UPI,UPI/RZP/140997998139,617,INR,2026-08-03,SUCCESS
CHAIN000076,PAY0076,ORD0076,CARD,,4250,INR,2026-08-03,SUCCESS
CHAIN000077,PAY0077,ORD0077,NETBANKING,,5913,INR,2026-08-03,SUCCESS
CHAIN000078,PAY0078,ORD0078,NETBANKING,,4399,INR,2026-08-09,SUCCESS
CHAIN000079,PAY0079,ORD0079,UPI,UPI/RZP/239284873367,4010,INR,2026-08-18,SUCCESS
CHAIN000080,PAY0080,ORD0080,UPI,UPI/RZP/500755918055,9855,INR,2026-08-19,SUCCESS
CHAIN000081,PAY0081,ORD0081,UPI,UPI/RZP/494702875840,4481,INR,2026-08-26,SUCCESS
CHAIN000082,PAY0082,ORD0082,UPI,UPI/RZP/373512393782,7169,INR,2026-08-07,SUCCESS
CHAIN000083,PAY0083,ORD0083,NETBANKING,,2088,INR,2026-08-22,SUCCESS
CHAIN000084,PAY0084,ORD0084,UPI,UPI/RZP/956217530058,6304,INR,2026-08-14,SUCCESS
CHAIN000085,PAY0085,ORD0085,NETBANKING,,8151,INR,2026-08-28,SUCCESS
CHAIN000086,PAY0086,ORD0086,CARD,,2112,INR,2026-08-02,SUCCESS
CHAIN000087,PAY0087,ORD0087,NETBANKING,,6059,INR,2026-08-26,SUCCESS
CHAIN000088,PAY0088,ORD0088,NETBANKING,,4573,INR,2026-08-07,SUCCESS
CHAIN000089,PAY0089,ORD0089,UPI,UPI/RZP/992493718889,9286,INR,2026-08-15,SUCCESS
CHAIN000090,PAY0090,ORD0090,UPI,UPI/RZP/554757219856,7412,INR,2026-08-06,SUCCESS
CHAIN000091,PAY0091,ORD0091,UPI,UPI/RZP/908224199827,8079,INR,2026-08-08,SUCCESS
CHAIN000092,PAY0092,ORD0092,CARD,,7760,INR,2026-08-26,SUCCESS
CHAIN000093,PAY0093,ORD0093,CARD,,2104,INR,2026-08-02,SUCCESS
CHAIN000094,PAY0094,ORD0094,NETBANKING,,741,INR,2026-08-03,SUCCESS
CHAIN000095,PAY0095,ORD0095,NETBANKING,,3224,INR,2026-08-14,SUCCESS
CHAIN000096,PAY0096,ORD0096,UPI,UPI/RZP/272944613643,8386,INR,2026-08-07,SUCCESS
CHAIN000097,PAY0097,ORD0097,NETBANKING,,1460,INR,2026-08-06,SUCCESS
CHAIN000098,PAY0098,ORD0098,UPI,UPI/RZP/342539766821,535,INR,2026-08-13,SUCCESS
CHAIN000099,PAY0099,ORD0099,UPI,UPI/RZP/484229076692,7954,INR,2026-08-10,SUCCESS
CHAIN000100,PAY0100,ORD0100,CARD,,9605,INR,2026-08-22,SUCCESS
