chain_id,order_id,payment_id,settlement_id,bank_transaction_id,true_match,exception_type
CHAIN000027,ORD0027,PAY0027,SET0027,BTX0027,true,NONE
CHAIN000028,ORD0028,PAY0028,SET0028,BTX0028,true,NONE
CHAIN000029,ORD0029,PAY0029,SET0029,BTX0029,true,NONE
CHAIN000030,ORD0030,PAY0030,SET0030,BTX0030,true,NONE
CHAIN000031,ORD0031,PAY0031,SET0031,BTX0031,true,NONE
CHAIN000032,ORD0032,PAY0032,SET0032,BTX0032,true,NONE
CHAIN000033,ORD0033,PAY0033,SET0033,BTX0033,true,NONE
CHAIN000034,ORD0034,PAY0034,SET0034,BTX0034,true,NONE
CHAIN000035,ORD0035,PAY0035,SET0035,BTX0035,true,NONE
CHAIN000036,ORD0036,PAY0036,SET0036,BTX0036,true,NONE
CHAIN000037,ORD0037,PAY0037,SET0037,BTX0037,true,NONE
CHAIN000038,ORD0038,PAY0038,SET0038,BTX0038,true,NONE
CHAIN000039,ORD0039,PAY0039,SET0039,BTX0039,true,NONE
CHAIN000040,ORD0040,PAY0040,SET0040,BTX0040,true,NONE
CHAIN000041,ORD0041,PAY0041,SET0041,BTX0041,true,NONE
CHAIN000042,ORD0042,PAY0042,SET0042,BTX0042,true,NONE
CHAIN000043,ORD0043,PAY0043,SET0043,BTX0043,true,NONE
CHAIN000044,ORD0044,PAY0044,SET0044,BTX0044,true,NONE
CHAIN000045,ORD0045,PAY0045,SET0045,BTX0045,true,NONE
CHAIN000046,ORD0046,PAY0046,SET0046,BTX0046,true,NONE
CHAIN000047,ORD0047,PAY0047,SET0047,BTX0047,true,NONE
CHAIN000048,ORD0048,PAY0048,SET0048,BTX0048,true,NONE
CHAIN000049,ORD0049,PAY0049,SET0049,BTX0049,true,NONE
CHAIN000050,ORD0050,PAY0050,SET0050,BTX0050,true,NONE
CHAIN000051,ORD0051,PAY0051,SET0051,BTX0051,true,NONE
CHAIN000052,ORD0052,PAY0052,SET0052,BTX0052,true,NONE
CHAIN000053,ORD0053,PAY0053,SET0053,BTX0053,true,NONE
CHAIN000054,ORD0054,PAY0054,SET0054,BTX0054,true,NONE
CHAIN000055,ORD0055,PAY0055,SET0055,BTX0055,true,NONE
CHAIN000056,ORD0056,PAY0056,SET0056,BTX0056,true,NONE
CHAIN000057,ORD0057,PAY0057,SET0057,BTX0057,true,NONE
CHAIN000058,ORD0058,PAY0058,SET0058,BTX0058,true,NONE
CHAIN000059,ORD0059,PAY0059,SET0059,BTX0059,true,NONE
CHAIN000060,ORD0060,PAY0060,SET0060,BTX0060,true,NONE
CHAIN000061,ORD0061,PAY0061,SET0061,BTX0061,true,NONE
CHAIN000062,ORD0062,PAY0062,SET0062,BTX0062,true,NONE
CHAIN000063,ORD0063,PAY0063,SET0063,BTX0063,true,NONE
CHAIN000064,ORD0064,PAY0064,SET0064,BTX0064,true,NONE
CHAIN000065,ORD0065,PAY0065,SET0065,BTX0065,true,NONE
CHAIN000066,ORD0066,PAY0066,SET0066,BTX0066,true,NONE
CHAIN000067,ORD0067,PAY0067,SET0067,BTX0067,true,NONE
CHAIN000068,ORD0068,PAY0068,SET0068,BTX0068,true,NONE
CHAIN000069,ORD0069,PAY0069,SET0069,BTX0069,true,NONE
CHAIN000070,ORD0070,PAY0070,SET0070,BTX0070,true,NONE
CHAIN000071,ORD0071,PAY0071,SET0071,BTX0071,true,NONE
CHAIN000072,ORD0072,PAY0072,SET0072,BTX0072,true,NONE
CHAIN000073,ORD0073,PAY0073,SET0073,BTX0073,true,NONE
CHAIN000074,ORD0074,PAY0074,SET0074,BTX0074,true,NONE
CHAIN000075,ORD0075,PAY0075,SET0075,BTX0075,true,NONE
CHAIN000076,ORD0076,PAY0076,SET0076,BTX0076,true,NONE
CHAIN000077,ORD0077,PAY0077,SET0077,BTX0077,true,NONE
CHAIN000078,ORD0078,PAY0078,SET0078,BTX0078,true,NONE
CHAIN000079,ORD0079,PAY0079,SET0079,BTX0079,true,NONE
CHAIN000080,ORD0080,PAY0080,SET0080,BTX0080,true,NONE
CHAIN000081,ORD0081,PAY0081,SET0081,BTX0081,true,NONE
CHAIN000082,ORD0082,PAY0082,SET0082,BTX0082,true,NONE
CHAIN000083,ORD0083,PAY0083,SET0083,BTX0083,true,NONE
CHAIN000084,ORD0084,PAY0084,SET0084,BTX0084,true,NONE
CHAIN000085,ORD0085,PAY0085,SET0085,BTX0085,true,NONE
CHAIN000086,ORD0086,PAY0086,SET0086,BTX0086,true,NONE
CHAIN000087,ORD0087,PAY0087,SET0087,BTX0087,true,NONE
CHAIN000088,ORD0088,PAY0088,SET0088,BTX0088,true,NONE
CHAIN000089,ORD0089,PAY0089,SET0089,BTX0089,true,NONE
CHAIN000090,ORD0090,PAY0090,SET0090,BTX0090,true,NONE
CHAIN000091,ORD0091,PAY0091,SET0091,BTX0091,true,NONE
CHAIN000092,ORD0092,PAY0092,SET0092,BTX0092,true,NONE
CHAIN000093,ORD0093,PAY0093,SET0093,BTX0093,true,NONE
CHAIN000094,ORD0094,PAY0094,SET0094,BTX0094,true,NONE
CHAIN000095,ORD0095,PAY0095,SET0095,BTX0095,true,NONE
CHAIN000096,ORD0096,PAY0096,SET0096,BTX0096,true,NONE
CHAIN000097,ORD0097,PAY0097,SET0097,BTX0097,true,NONE
CHAIN000098,ORD0098,PAY0098,SET0098,BTX0098,true,NONE
CHAIN000099,ORD0099,PAY0099,SET0099,BTX0099,true,NONE
CHAIN000100,ORD0100,PAY0100,SET0100,BTX0100,true,NONE
