chain_id,settlement_id,payment_id,gross_amount,platform_fee,gst_on_fee,net_amount,settlement_date,settlement_reference
CHAIN000096,SET0096,PAY0096,8386,83.86,15.09,8287.05,2026-08-09,SETTXN0096
CHAIN000097,SET0097,PAY0097,1460,14.60,2.63,1442.77,2026-08-08,SETTXN0097X
CHAIN000098,SET0098,PAY0098,535,5.35,0.96,528.69,2026-08-15,SETTXN0098
CHAIN000099,SET0099,PAY0099,7954,79.54,14.32,7860.14,2026-08-12,SETTXN0099
CHAIN000100,SET0100,PAY0100,9605,96.05,17.29,9491.66,2026-08-24,SETTXN0100
CHAIN000031,SET0031_DUP,PAY0031,1416,14.16,2.55,1399.29,2026-08-10,SETTXN0031
CHAIN000022,SET0022_DUP,PAY0022,2154,21.54,3.88,2128.58,2026-08-15,SETTXN0022
CHAIN000033,SET0033_DUP,PAY0033,1584,15.84,2.85,1565.31,2026-08-09,SETTXN0033
CHAIN000084,SET0084_PART2,PAY0084,6304,63.04,11.35,3114.81,2026-08-16,SETTXN0084
CHAIN000027,SET0027_PART2,PAY0027,9251,92.51,16.65,4570.92,2026-08-26,SETTXN0027
