chain_id,transaction_id,transaction_date,credit_amount,currency,narration,reference
CHAIN000059,BTX0059,2026-08-31,6370.93,INR,Settlement for PAY0059,SETTXN0059
CHAIN000060,BTX0060,2026-08-04,4370.81,INR,Settlement for PAY0060,SETTXN0060
CHAIN000061,BTX0061,2026-08-05,9679.42,INR,Settlement for PAY0061,SETTXN0061
CHAIN000062,BTX0062,2026-08-29,8362.15,INR,Settlement for PAY0062,SETTXN0062
CHAIN000063,BTX0063,2026-08-27,9118.12,INR,Settlement for PAY0063,SETTXN0063
CHAIN000064,BTX0064,2026-08-24,2572.28,INR,Settlement for PAY0064,SETTXN0064
CHAIN000065,BTX0065,2026-08-08,9394.82,INR,Settlement for PAY0065,SETTXN0065
CHAIN000066,BTX0066,2026-09-02,9037.09,INR,Settlement for PAY0066,SETTXN0066
CHAIN000067,BTX0067,2026-08-09,7344.30,INR,Settlement for PAY0067,SETTXN0067
CHAIN000068,BTX0068,2026-08-25,3750.22,INR,Settlement for PAY0068,SETTXN0068
CHAIN000069,BTX0069,2026-08-24,6953.96,INR,Settlement for PAY0069,SETTXN0069
CHAIN000070,BTX0070,2026-08-31,7586.41,INR,Settlement for PAY0070,SETTXN0070
CHAIN000071,BTX0071,2026-08-09,7803.82,INR,Settlement for PAY0071,SETTXN0071
CHAIN000072,BTX0072,2026-08-05,4131.66,INR,Settlement for PAY0072,SETTXN0072
CHAIN000073,BTX0073,2026-08-21,784.04,INR,Settlement for PAY0073,SETTXN0073
CHAIN000074,BTX0074,2026-08-21,4169.61,INR,Settlement for PAY0074,SETTXN0074
CHAIN000075,BTX0075,2026-08-05,609.72,INR,Settlement for PAY0075,SETTXN0075
CHAIN000076,BTX0076,2026-08-05,4199.85,INR,Settlement for PAY0076,SETTXN0076
CHAIN000078,BTX0078,2026-08-11,4347.09,INR,Settlement for PAY0078,SETTXN0078
CHAIN000079,BTX0079,2026-08-23,3962.68,INR,Settlement for PAY0079,SETTXN0079
CHAIN000080,BTX0080,2026-08-21,9738.71,INR,Settlement for PAY0080,SETTXN0080
CHAIN000081,BTX0081,2026-08-28,4428.12,INR,Settlement for PAY0081,SETTXN0081
CHAIN000082,BTX0082,2026-08-09,7084.41,INR,Settlement for PAY0082,SETTXN0082
CHAIN000083,BTX0083,2026-08-24,2063.36,INR,Settlement for PAY0083,SETTXN0083
CHAIN000084,BTX0084,2026-08-16,6229.61,INR,Settlement for PAY0084,SETTXN0084
CHAIN000085,BTX0085,2026-08-30,8054.82,INR,Settlement for PAY0085,SETTXN0085
CHAIN000086,BTX0086,2026-08-04,2087.08,INR,Settlement for PAY0086,SETTXN0086
CHAIN000087,BTX0087,2026-08-28,5987.50,INR,Settlement for PAY0087,SETTXN0087
CHAIN000089,BTX0089,2026-08-17,9176.43,INR,Settlement for PAY0089,SETTXN0089
CHAIN000090,BTX0090,2026-08-08,7324.54,INR,Settlement for PAY0090,SETTXN0090
CHAIN000091,BTX0091,2026-08-10,7983.67,INR,Settlement for PAY0091,SETTXN0091
CHAIN000092,BTX0092,2026-08-31,7668.43,INR,Settlement for PAY0092,SETTXN0092
CHAIN000094,BTX0094,2026-08-05,732.26,INR,Settlement for PAY0094,SETTXN0094
CHAIN000095,BTX0095,2026-08-16,3185.96,INR,Settlement for PAY0095,SETTXN0095
CHAIN000096,BTX0096,2026-08-09,8287.05,INR,Settlement for PAY0096,SETTXN0096
CHAIN000097,BTX0097,2026-08-08,1442.77,INR,Settlement for PAY0097,SETTXN0097
CHAIN000098,BTX0098,2026-08-15,528.69,INR,Settlement for PAY0098,SETTXN0098
CHAIN000099,BTX0099,2026-08-12,7860.14,INR,Settlement for PAY0099,SETTXN0099
CHAIN000100,BTX0100,2026-08-24,9491.66,INR,Settlement for PAY0100,SETTXN0100
CHAIN000031,BTX0031_DUP,2026-08-10,1399.29,INR,Settlement for PAY0031,SETTXN0031
CHAIN000022,BTX0022_DUP,2026-08-15,2128.58,INR,Settlement for PAY0022,SETTXN0022
CHAIN000033,BTX0033_DUP,2026-08-09,1565.31,INR,Settlement for PAY0033,SETTXN0033
